Year,Month,Rainfall,WPI
2012,4,47.5,107.7
2012,5,31.7,109.3
2012,6,117.8,107.0
2012,7,250.2,113.9
2012,8,262.4,120.7
2012,9,193.5,121.7
2012,10,58.7,114.8
2012,11,30.7,120.4
2012,12,11.7,127.7
2013,1,11.3,131.6
2013,2,40.1,132.7
2013,3,15.7,132.5
2013,4,30.4,136.4
2013,5,57.8,137.6
2013,6,219.8,136.9
2013,7,310.0,135.3
2013,8,254.7,131.0
2013,9,152.7,130.9
2013,10,129.4,129.7
2013,11,14.0,129.5
2013,12,6.7,131.1
2014,1,19.2,132.3
2014,2,27.4,131.5
2014,3,36.1,133.6
2014,4,22.2,134.4
2014,5,72.9,134.6
2014,6,95.4,132.5
2014,7,261.2,134.4
2014,8,237.5,133.2
2014,9,188.0,133.9
2014,10,60.2,129.3
2014,11,14.4,125.6
2014,12,10.7,123.9
2015,1,17.4,125.0
2015,2,21.0,123.2
2015,3,62.0,124.8
2015,4,69.4,127.3
2015,5,53.8,126.7
2015,6,192.8,125.2
2015,7,242.4,124.3
2015,8,205.2,127.4
2015,9,131.8,132.2
2015,10,42.9,132.7
2015,11,39.4,135.3
2015,12,15.0,139.2
2016,1,19.3,142.9
2016,2,22.8,144.2
2016,3,27.6,147.7
2016,4,37.4,155.8
2016,5,62.6,162.6
2016,6,168.3,158.7
2016,7,289.1,159.6
2016,8,256.3,159.3
2016,9,171.9,155.1
2016,10,76.1,148.1
2016,11,29.7,151.0
2016,12,14.9,154.7
2017,1,19.0,151.9
2017,2,22.6,151.3
2017,3,27.8,152.6
2017,4,37.9,153.8
2017,5,62.4,153.2
2017,6,168.1,149.7
2017,7,289.3,145.4
2017,8,256.2,143.8
2017,9,171.5,139.4
2017,10,76.3,132.9
2017,11,29.9,130.2
2017,12,15.0,133.9
2018,1,19.2,131.7
2018,2,20.1,127.9
2018,3,27.1,126.8
2018,4,40.2,127.0
2018,5,62.7,128.1
2018,6,165.0,129.5
2018,7,286.3,132.9
2018,8,254.3,138.2
2018,9,171.9,141.7
2018,10,77.2,148.6
2018,11,28.1,161.7
2018,12,14.1,165.1
2019,1,18.5,171.2
2019,2,33.1,178.3
2019,3,18.7,182.0
2019,4,31.5,188.0
2019,5,51.3,194.7
2019,6,113.5,195.3
2019,7,298.8,199.6
2019,8,299.9,200.4
2019,9,259.5,195.9
2019,10,110.1,184.9
2019,11,31.6,188.4
2019,12,19.2,194.7
2020,1,28.3,201.6
2020,2,12.1,193.7
2020,3,44.7,187.5
2020,4,42.7,188.9
2020,5,71.8,185.0
2020,6,195.6,176.1
2020,7,257.1,167.3
2020,8,327.8,161.1
2020,9,178.0,155.7
2020,10,78.3,155.4
2020,11,29.2,154.2
2020,12,17.0,150.0
2021,1,20.2,148.3
2021,2,7.6,145.7
2021,3,16.7,146.9
2021,4,31.1,146.6
2021,5,107.8,149.1
2021,6,182.4,150.1
2021,7,266.2,153.9
2021,8,196.3,161.1
2021,9,229.6,166.4
2021,10,100.8,164.8
2021,11,56.5,172.6
2021,12,20.5,183.4
2022,1,39.5,183.2
2022,2,19.1,187.7
2022,3,8.9,196.4
2022,4,38.2,205.4
2022,5,83.2,209.3
2022,6,152.2,207.0
2022,7,327.2,208.0
2022,8,264.0,214.3
2022,9,181.4,212.8
2022,10,111.8,201.5
2022,11,18.6,209.7
2022,12,13.6,219.2
2023,1,14.8,224.1
2023,2,7.2,219.6
2023,3,37.6,225.1
2023,4,41.4,229.6
2023,5,67.5,229.4
2023,6,151.2,226.7
2023,7,315.9,226.9
2023,8,162.7,225.9
2023,9,190.0,225.7
2023,10,50.8,231.5
2023,11,34.6,238.5
2023,12,25.5,246.6
2024,1,7.2,246.2
2024,2,19.6,242.8
2024,3,28.5,239.9
2024,4,31.4,238.0
2024,5,66.0,240.4
2024,6,147.2,239.6
2024,7,305.8,241.0
2024,8,293.9,245.2
2024,9,187.3,246.7
2024,10,75.7,248.7
2024,11,13.6,252.2
2024,12,28.1,255.1
