Year,Month,Rainfall,WPI
2012,4,47.5,104.6
2012,5,31.7,105.4
2012,6,117.8,104.4
2012,7,250.2,105.8
2012,8,262.4,116.0
2012,9,193.5,119.4
2012,10,58.7,117.4
2012,11,30.7,120.7
2012,12,11.7,121.7
2013,1,11.3,121.6
2013,2,40.1,123.6
2013,3,15.7,122.8
2013,4,30.4,120.1
2013,5,57.8,118.9
2013,6,219.8,121.9
2013,7,310.0,122.3
2013,8,254.7,123.1
2013,9,152.7,124.6
2013,10,129.4,125.7
2013,11,14.0,127.6
2013,12,6.7,128.6
2014,1,19.2,130.0
2014,2,27.4,128.8
2014,3,36.1,127.5
2014,4,22.2,123.5
2014,5,72.9,120.9
2014,6,95.4,120.4
2014,7,261.2,121.9
2014,8,237.5,122.5
2014,9,188.0,121.8
2014,10,60.2,122.3
2014,11,14.4,123.7
2014,12,10.7,125.8
2015,1,17.4,126.3
2015,2,21.0,125.9
2015,3,62.0,125.9
2015,4,69.4,125.1
2015,5,53.8,124.1
2015,6,192.8,122.3
2015,7,242.4,124.8
2015,8,205.2,126.1
2015,9,131.8,126.2
2015,10,42.9,128.5
2015,11,39.4,129.9
2015,12,15.0,131.9
2016,1,19.3,134.1
2016,2,22.8,134.1
2016,3,27.6,134.1
2016,4,37.4,132.9
2016,5,62.6,134.5
2016,6,168.3,136.5
2016,7,289.1,137.9
2016,8,256.3,139.1
2016,9,171.9,140.0
2016,10,76.1,140.8
2016,11,29.7,147.9
2016,12,14.9,152.3
2017,1,19.0,151.3
2017,2,22.6,149.3
2017,3,27.8,142.9
2017,4,37.9,141.0
2017,5,62.4,137.5
2017,6,168.1,136.1
2017,7,289.3,136.3
2017,8,256.2,137.1
2017,9,171.5,137.6
2017,10,76.3,138.0
2017,11,29.9,139.4
2017,12,15.0,139.4
2018,1,19.2,140.8
2018,2,20.1,140.0
2018,3,27.1,141.2
2018,4,40.2,140.9
2018,5,62.7,141.7
2018,6,165.0,143.1
2018,7,286.3,145.0
2018,8,254.3,148.6
2018,9,171.9,149.8
2018,10,77.2,151.1
2018,11,28.1,152.2
2018,12,14.1,152.8
2019,1,18.5,154.8
2019,2,33.1,157.2
2019,3,18.7,155.5
2019,4,31.5,151.5
2019,5,51.3,150.7
2019,6,113.5,150.8
2019,7,298.8,153.4
2019,8,299.9,156.5
2019,9,259.5,158.3
2019,10,110.1,160.4
2019,11,31.6,164.5
2019,12,19.2,165.7
2020,1,28.3,168.7
2020,2,12.1,167.3
2020,3,44.7,162.9
2020,4,42.7,161.2
2020,5,71.8,161.5
2020,6,195.6,158.5
2020,7,257.1,157.3
2020,8,327.8,154.2
2020,9,178.0,150.0
2020,10,78.3,147.4
2020,11,29.2,147.9
2020,12,17.0,147.3
2021,1,20.2,149.1
2021,2,7.6,149.6
2021,3,16.7,150.3
2021,4,31.1,156.1
2021,5,107.8,157.4
2021,6,182.4,155.7
2021,7,266.2,152.8
2021,8,196.3,153.9
2021,9,229.6,156.6
2021,10,100.8,159.4
2021,11,56.5,162.9
2021,12,20.5,164.1
2022,1,39.5,164.6
2022,2,19.1,166.1
2022,3,8.9,171.4
2022,4,38.2,173.3
2022,5,83.2,174.1
2022,6,152.2,171.8
2022,7,327.2,173.6
2022,8,264.0,180.6
2022,9,181.4,181.8
2022,10,111.8,185.3
2022,11,18.6,192.4
2022,12,13.6,198.2
2023,1,14.8,203.9
2023,2,7.2,196.8
2023,3,37.6,187.1
2023,4,41.4,186.4
2023,5,67.5,184.9
2023,6,151.2,187.3
2023,7,315.9,187.1
2023,8,162.7,188.3
2023,9,190.0,190.7
2023,10,50.8,194.0
2023,11,34.6,197.6
2023,12,25.5,200.5
2024,1,7.2,200.1
2024,2,19.6,201.5
2024,3,28.5,201.1
2024,4,31.4,197.0
2024,5,66.0,196.5
2024,6,147.2,199.0
2024,7,305.8,200.2
2024,8,293.9,202.2
2024,9,187.3,205.4
2024,10,75.7,209.6
2024,11,13.6,213.8
2024,12,28.1,215.5
